corp_code,corp_name,ticker,market,is_listed,bizr_no,jurir_no,corp_cls,extracted_at
00263371,한국경제TV,039340,KOSDAQ,True,1078170183,1101111767510,K,2026-03-14
00263654,오스코텍,039200,KOSDAQ,True,3128132175,1615110028691,K,2026-03-14
00263885,포네이처,045290,,False,1238133157,1101110834782,E,2026-03-14
00263955,트래픽아이티에스,038050,,False,2208112832,1101110926513,E,2026-03-14
00263991,모빌링크텔레콤,041310,,False,1068135636,1101110586119,E,2026-03-14
00264103,에이엠에스,044770,,False,2128116778,1101110569412,E,2026-03-14
00264130,옥션,043790,,False,2148602085,1101111253569,E,2026-03-14
00264185,피코소프트,039580,,False,2138186016,1101110964555,E,2026-03-14
00264228,위즈코프,038620,KOSDAQ,True,1168136215,1101111136145,K,2026-03-14
00264255,바텍,043150,KOSDAQ,True,1238128203,1341110036348,K,2026-03-14
00264529,엔플렉스,040130,,False,2208156354,1101111601750,E,2026-03-14
00264547,KG이니시스,035600,KOSDAQ,True,2208155597,1101111602667,K,2026-03-14
00264556,에이스일렉트로닉스,038690,,False,1338139823,1355110096749,E,2026-03-14
00264635,에스넷,038680,KOSDAQ,True,1208186581,1101111647671,K,2026-03-14
00264644,넥스콘테크놀러지,038990,,False,3128133965,1615110021158,E,2026-03-14
00264671,세중,039310,KOSDAQ,True,1188113090,1101111220063,K,2026-03-14
00264714,SG&G,040610,KOSDAQ,True,2208140774,1101110984199,K,2026-03-14
00264732,파인디지털,038950,KOSDAQ,True,2138191028,1101110896683,K,2026-03-14
00264741,어울림네트웍스,042820,,False,2118171410,1101110229149,E,2026-03-14
00264769,포이보스,038810,,False,1028133029,1101110969886,E,2026-03-14
00264787,럭슬,033600,,False,1258112615,1243110006521,E,2026-03-14
00264796,스톰이앤에프,043680,,False,3148109777,1601110041733,E,2026-03-14
00264802,유일엔시스,038720,,False,5138106305,1760110007052,E,2026-03-14
00264811,에이프로테크놀로지,045470,,False,1138140097,1101110542327,E,2026-03-14
00264839,아이비진,039060,,False,3148115610,1601110054091,E,2026-03-14
00264848,대국,042340,,False,1208164549,1101111305964,E,2026-03-14
00264857,아라온테크,041060,,False,2118641060,1101111257339,E,2026-03-14
00264945,나이스정보통신,036800,KOSDAQ,True,2208115770,1101110574453,K,2026-03-14
00264981,디에이치패션,045260,,False,2118625852,1101111468952,E,2026-03-14
00265005,옴니시스템,057540,KOSDAQ,True,1308151696,1211110054981,K,2026-03-14
00265041,삼양케이씨아이,036670,KOSDAQ,True,1338126385,1244110011884,K,2026-03-14
00265078,유니텍전자,039040,,False,1068138972,1101110853170,E,2026-03-14
00265157,바이오시스,035960,,False,2238103332,1452110002518,E,2026-03-14
00265218,케이엔에스홀딩스,036760,,False,2148158416,1101110859425,E,2026-03-14
00265227,에스비엠,037630,,False,2298128802,1101111450016,E,2026-03-14
00265254,넥스텔,037220,,False,2158144313,1101111059024,E,2026-03-14
00265263,토자이홀딩스,037700,,False,1148182673,1101111506835,E,2026-03-14
00265324,CJ ENM,035760,KOSDAQ,True,1068151510,1101111109134,K,2026-03-14
00265342,에이치에스씨홀딩스,038920,,False,2148608283,1101111020215,E,2026-03-14
00265421,인지디스플레,037330,KOSDAQ,True,1348113942,1350110036315,K,2026-03-14
00266934,파루,043200,KOSDAQ,True,4168113067,2013110006783,K,2026-03-14
00266943,넥슨지티,041140,,False,1268115901,1101110984587,E,2026-03-14
00266952,네오위즈홀딩스,042420,KOSDAQ,True,2148616503,1101111419517,K,2026-03-14
00266961,NAVER,035420,KOSPI,True,2208162517,1101111707178,Y,2026-03-14
00266989,에이디모터스,038120,,False,5058105192,1712110005015,E,2026-03-14
00267021,창민테크,042960,,False,2208128329,1101110993801,E,2026-03-14
00267094,헤파호프코리아,039350,,False,2118615596,1101111301095,E,2026-03-14
00267474,지앤알,043630,,False,5158105068,1748110007503,E,2026-03-14
00267669,솔빛미디어,044440,,False,2118646973,1101111606825,E,2026-03-14
00267720,신한SIT,054530,,False,6068154088,1801110159532,E,2026-03-14
00267775,동산진흥,031960,,False,2148102042,1101110174865,E,2026-03-14
00267793,삼화기연,033210,,False,1308119639,1243110011504,E,2026-03-14
00267809,위더스기술금융,019430,,False,6178107983,1801110069517,E,2026-03-14
00267854,메디앙스,014100,KOSDAQ,True,2088103973,1101110252471,K,2026-03-14
00267881,보성파워텍,006910,KOSDAQ,True,1348102237,1301110007765,K,2026-03-14
00267906,베뉴지,019010,KOSDAQ,True,1208114656,1101110252405,K,2026-03-14
00267942,큐캐피탈,016600,KOSDAQ,True,2208108089,1101110339691,K,2026-03-14
00267951,아큐텍,013780,,False,2188116024,1101110245913,E,2026-03-14
00267960,에스에스컴텍,036500,,False,3038103171,1545110000870,E,2026-03-14
00267979,한일화학,007770,KOSDAQ,True,1338126110,1201110003111,K,2026-03-14
00267997,에스티앤아이,031800,,False,3038111384,1344110006030,E,2026-03-14
00268002,세종텔레콤,036630,KOSDAQ,True,1238128751,1341110036992,K,2026-03-14
00268011,일레덱스홀딩스,033550,,False,1378102032,1201110008103,E,2026-03-14
00268020,쏠라엔텍,030390,,False,1168120163,1101110191900,E,2026-03-14
00268118,코맥스,036690,KOSDAQ,True,1298101726,1311110001964,K,2026-03-14
00268181,에스피컴텍,039110,,False,2128126771,1101110934384,E,2026-03-14
00268251,다산네트웍스,039560,KOSDAQ,True,1298116613,1101110924765,K,2026-03-14
00268297,에코페트로시스템,042870,,False,3018130686,1501110030093,E,2026-03-14
00268358,에스브이에이치,046240,,False,6018132319,1801110241743,E,2026-03-14
00268437,나노트로닉스,010670,,False,1268115594,1341110002472,E,2026-03-14
00268482,조이토토,044370,,False,2188117149,1101111056343,E,2026-03-14
00269241,주연테크,044380,KOSPI,True,1168123200,1101110574164,Y,2026-03-14
00269287,보홍,041320,,False,1058161543,1101110990980,E,2026-03-14
00269339,인네트,041450,,False,1208163481,1101111275787,E,2026-03-14
00269612,파워로직스,047310,KOSDAQ,True,1058189099,1101111459191,K,2026-03-14
00269773,대양글로벌,040180,,False,2148147340,1101110892136,E,2026-03-14
00269852,폴라리스오피스,041020,KOSDAQ,True,2208143747,1101111398117,K,2026-03-14
00269889,누리플렉스,040160,KOSDAQ,True,1168134196,1101111029671,K,2026-03-14
00269922,인바디,041830,KOSDAQ,True,2208113603,1101111271834,K,2026-03-14
00269940,하나투어,039130,KOSPI,True,1028139440,1101110981038,Y,2026-03-14
00270113,멕아이씨에스,058110,KOSDAQ,True,1388118411,1341110063143,K,2026-03-14
00270405,윌텍정보통신,039390,,False,2158151639,1101111238735,E,2026-03-14
00270432,티브로드한빛방송,043890,,False,1348136625,1350110067071,E,2026-03-14
00271352,테크메이트,043690,,False,1298114236,1101110797807,E,2026-03-14
00271413,사라콤,040020,,False,6018108158,1801110015750,E,2026-03-14
00271431,케이엠에스,038830,,False,1198116256,1101110954829,E,2026-03-14
00271501,코아시아,045970,KOSDAQ,True,2148155613,1101110944622,K,2026-03-14
00272412,글라소울,045050,,False,1198102621,1101110600795,E,2026-03-14
00273110,에스티큐브,052020,KOSDAQ,True,1308126197,1243110025472,K,2026-03-14
00273420,이스트소프트,047560,KOSDAQ,True,2298103214,1101110974851,K,2026-03-14
00273439,메디아나,041920,KOSDAQ,True,2118637038,1101111168502,K,2026-03-14
